"San Francisco, CA","Sacramento, CA",87
"San Francisco, CA","San Antonio, TX",1732
"San Francisco, CA","Toronto, Ontario",2663
"San Francisco, CA","Salt Lake City, UT",764
"San Francisco, CA","Washington, D.C",2845
"Atlanta, GA","Miami, FL",663
"Atlanta, GA","Boston, MA",1076
"Atlanta, GA","Los Angles, CA",2184
"Atlanta, GA","New York, NY",863
"Atlanta, GA","San Francisco, CA",2482
"Atlanta, GA","Atlanta, GA",2
"Atlanta, GA","Brooklyn, NY",867
"Atlanta, GA","Charlotte, NC",245
"Atlanta, GA","Chicago, IL",720
"Atlanta, GA","Cleveland, OH",710
"Atlanta, GA","Dallas, TX",781
"Atlanta, GA","Denver, CO",1402
"Atlanta, GA","Detroit, MI",722
"Atlanta, GA","Houston, TX",793
"Atlanta, GA","Indianapolis, IN",534
"Atlanta, GA","Memphis, TN",391
"Atlanta, GA","Oklahoma City, OK",857
"Atlanta, GA","Milwaukee, WI",810
"Atlanta, GA","Minneapolis, MN",1130
"Atlanta, GA","New Orleans, LA",470
"Atlanta, GA","Orlando, FL",439
"Atlanta, GA","Philadelphia, PA",777
"Atlanta, GA","Phoenix, AZ",1815
"Atlanta, GA","Portland, OR",2600
"Atlanta, GA","Sacramento, CA",2476
"Atlanta, GA","San Antonio, TX",988
"Atlanta, GA","Toronto, Ontario",951
"Atlanta, GA","Salt Lake City, UT",1876
"Atlanta, GA","Washington, D.C",638
"Brooklyn, NY","Miami, FL",1282
"Brooklyn, NY","Boston, MA",216
"Brooklyn, NY","Los Angles, CA",2797
"Brooklyn, NY","New York, NY",5
"Brooklyn, NY","San Francisco, CA",2934
"Brooklyn, NY","Atlanta, GA",871
"Brooklyn, NY","Brooklyn, NY",2
"Brooklyn, NY","Charlotte, NC",630
"Brooklyn, NY","Chicago, IL",794
"Brooklyn, NY","Cleveland, OH",466
"Brooklyn, NY","Dallas, TX",1557
"Brooklyn, NY","Denver, CO",1780
"Brooklyn, NY","Detroit, MI",618
"Brooklyn, NY","Houston, TX",1637
"Brooklyn, NY","Indianapolis, IN",730
"Brooklyn, NY","Memphis, TN",1105
"Brooklyn, NY","Oklahoma City, OK",1469
"Brooklyn, NY","Milwaukee, WI",884
"Brooklyn, NY","Minneapolis, MN",1201
"Brooklyn, NY","New Orleans, LA",1315
"Brooklyn, NY","Orlando, FL",1077
"Brooklyn, NY","Philadelphia, PA",97
"Brooklyn, NY","Phoenix, AZ",2429
"Brooklyn, NY","Portland, OR",2899
"Brooklyn, NY","Sacramento, CA",2848
"Brooklyn, NY","San Antonio, TX",1832
"Brooklyn, NY","Toronto, Ontario",495
"Brooklyn, NY","Salt Lake City, UT",2175
"Brooklyn, NY","Washington, D.C",229
"Charlotte, NC","Miami, FL",729
"Charlotte, NC","Boston, MA",836
"Charlotte, NC","Los Angles, CA",2412
"Charlotte, NC","New York, NY",623
"Charlotte, NC","San Francisco, CA",2710
"Charlotte, NC","Atlanta, GA",244
"Charlotte, NC","Brooklyn, NY",628
"Charlotte, NC","Charlotte, NC",2
"Charlotte, NC","Chicago, IL",755
"Charlotte, NC","Cleveland, OH",515
"Charlotte, NC","Dallas, TX",1025
"Charlotte, NC","Denver, CO",1561
"Charlotte, NC","Detroit, MI",629
"Charlotte, NC","Houston, TX",1038
"Charlotte, NC","Indianapolis, IN",574
"Charlotte, NC","Memphis, TN",619
"Charlotte, NC","Oklahoma City, OK",1084
"Charlotte, NC","Milwaukee, WI",845
"Charlotte, NC","Minneapolis, MN",1162
"Charlotte, NC","New Orleans, LA",714
"Charlotte, NC","Orlando, FL",525
"Charlotte, NC","Philadelphia, PA",538
"Charlotte, NC","Phoenix, AZ",2043
"Charlotte, NC","Portland, OR",2759
"Charlotte, NC","Sacramento, CA",2704
"Charlotte, NC","San Antonio, TX",1232
"Charlotte, NC","Toronto, Ontario",758
"Charlotte, NC","Salt Lake City, UT",2035
"Charlotte, NC","Washington, D.C",399
"Chicago, IL","Miami, FL",1381
"Chicago, IL","Boston, MA",984
"Chicago, IL","Los Angles, CA",2015
"Chicago, IL","New York, NY",790
"Chicago, IL","San Francisco, CA",2155
"Chicago, IL","Atlanta, GA",719
"Chicago, IL","Brooklyn, NY",794
"Chicago, IL","Charlotte, NC",755
"Chicago, IL","Chicago, IL",2
"Chicago, IL","Cleveland, OH",345
"Chicago, IL","Dallas, TX",926
"Chicago, IL","Denver, CO",1002
"Chicago, IL","Detroit, MI",283
"Chicago, IL","Houston, TX",1083
"Chicago, IL","Indianapolis, IN",183
"Chicago, IL","Memphis, TN",533
"Chicago, IL","Oklahoma City, OK",794
"Chicago, IL","Milwaukee, WI",92
"Chicago, IL","Minneapolis, MN",409
"Chicago, IL","New Orleans, LA",926
"Chicago, IL","Orlando, FL",1157
"Chicago, IL","Philadelphia, PA",759
"Chicago, IL","Phoenix, AZ",1753
"Chicago, IL","Portland, OR",2120
"Chicago, IL","Sacramento, CA",2070
"Chicago, IL","San Antonio, TX",1199
"Chicago, IL","Toronto, Ontario",521
"Chicago, IL","Salt Lake City, UT",1397
"Chicago, IL","Washington, D.C",701
"Cleveland, OH","Miami, FL",1242
"Cleveland, OH","Boston, MA",640
"Cleveland, OH","Los Angles, CA",2344
"Cleveland, OH","New York, NY",463
"Cleveland, OH","San Francisco, CA",2484
"Cleveland, OH","Atlanta, GA",709
"Cleveland, OH","Brooklyn, NY",467
"Cleveland, OH","Charlotte, NC",514
"Cleveland, OH","Chicago, IL",344
"Cleveland, OH","Cleveland, OH",2
"Cleveland, OH","Dallas, TX",1183
"Cleveland, OH","Denver, CO",1330
"Cleveland, OH","Detroit, MI",169
"Cleveland, OH","Houston, TX",1297
"Cleveland, OH","Indianapolis, IN",315
"Cleveland, OH","Memphis, TN",731
"Cleveland, OH","Oklahoma City, OK",1055
"Cleveland, OH","Milwaukee, WI",434
"Cleveland, OH","Minneapolis, MN",751
"Cleveland, OH","New Orleans, LA",1054
"Cleveland, OH","Orlando, FL",1037
